source_node_id,target_node_id,relation_name,source_node_type,target_node_type,derived_reverse
C0073,H1051,compound_in_herb,compound,herb,True
C0073,H1052,compound_in_herb,compound,herb,True
C0073,H1055,compound_in_herb,compound,herb,True
C0073,H1079,compound_in_herb,compound,herb,True
C0073,H1109,compound_in_herb,compound,herb,True
C0073,H1115,compound_in_herb,compound,herb,True
C0073,H1121,compound_in_herb,compound,herb,True
C0073,H1124,compound_in_herb,compound,herb,True
C0073,H1156,compound_in_herb,compound,herb,True
C0073,H1164,compound_in_herb,compound,herb,True
C0073,H1169,compound_in_herb,compound,herb,True
C0073,H1173,compound_in_herb,compound,herb,True
C0073,H1181,compound_in_herb,compound,herb,True
C0073,H1183,compound_in_herb,compound,herb,True
C0073,H1207,compound_in_herb,compound,herb,True
C0073,H1208,compound_in_herb,compound,herb,True
C0073,H1220,compound_in_herb,compound,herb,True
C0073,H1221,compound_in_herb,compound,herb,True
C0073,H1228,compound_in_herb,compound,herb,True
C0073,H1230,compound_in_herb,compound,herb,True
C0073,H1231,compound_in_herb,compound,herb,True
C0073,H1241,compound_in_herb,compound,herb,True
C0073,H1242,compound_in_herb,compound,herb,True
C0073,H1243,compound_in_herb,compound,herb,True
C0073,H1251,compound_in_herb,compound,herb,True
C0073,H1252,compound_in_herb,compound,herb,True
C0073,H1253,compound_in_herb,compound,herb,True
C0073,H1254,compound_in_herb,compound,herb,True
C0074,H1066,compound_in_herb,compound,herb,True
C0074,H1067,compound_in_herb,compound,herb,True
C0074,H1069,compound_in_herb,compound,herb,True
C0074,H1070,compound_in_herb,compound,herb,True
C0074,H1071,compound_in_herb,compound,herb,True
C0074,H1072,compound_in_herb,compound,herb,True
C0074,H1073,compound_in_herb,compound,herb,True
C0074,H1074,compound_in_herb,compound,herb,True
C0074,H1075,compound_in_herb,compound,herb,True
C0077,H0667,compound_in_herb,compound,herb,True
C0077,H0695,compound_in_herb,compound,herb,True
C0077,H0700,compound_in_herb,compound,herb,True
C0077,H0976,compound_in_herb,compound,herb,True
C0077,H1124,compound_in_herb,compound,herb,True
C0078,H0758,compound_in_herb,compound,herb,True
C0078,H0802,compound_in_herb,compound,herb,True
C0078,H0804,compound_in_herb,compound,herb,True
C0078,H0805,compound_in_herb,compound,herb,True
C0078,H0813,compound_in_herb,compound,herb,True
C0079,H0750,compound_in_herb,compound,herb,True
C0079,H1051,compound_in_herb,compound,herb,True
C0079,H1055,compound_in_herb,compound,herb,True
C0079,H1201,compound_in_herb,compound,herb,True
C0080,H0949,compound_in_herb,compound,herb,True
C0080,H0950,compound_in_herb,compound,herb,True
C0080,H0951,compound_in_herb,compound,herb,True
C0081,H0002,compound_in_herb,compound,herb,True
C0081,H0955,compound_in_herb,compound,herb,True
C0081,H0956,compound_in_herb,compound,herb,True
C0081,H1134,compound_in_herb,compound,herb,True
C0082,H0990,compound_in_herb,compound,herb,True
C0082,H1097,compound_in_herb,compound,herb,True
C0083,H0705,compound_in_herb,compound,herb,True
C0083,H0949,compound_in_herb,compound,herb,True
C0083,H0950,compound_in_herb,compound,herb,True
C0083,H0951,compound_in_herb,compound,herb,True
C0083,H1066,compound_in_herb,compound,herb,True
C0083,H1067,compound_in_herb,compound,herb,True
C0083,H1069,compound_in_herb,compound,herb,True
C0083,H1070,compound_in_herb,compound,herb,True
C0083,H1071,compound_in_herb,compound,herb,True
C0083,H1072,compound_in_herb,compound,herb,True
C0083,H1073,compound_in_herb,compound,herb,True
C0083,H1074,compound_in_herb,compound,herb,True
C0083,H1075,compound_in_herb,compound,herb,True
C0083,H1080,compound_in_herb,compound,herb,True
C0083,H1094,compound_in_herb,compound,herb,True
C0083,H1095,compound_in_herb,compound,herb,True
C0083,H1096,compound_in_herb,compound,herb,True
C0083,H1124,compound_in_herb,compound,herb,True
C0083,H1152,compound_in_herb,compound,herb,True
C0083,H1202,compound_in_herb,compound,herb,True
C0083,H1247,compound_in_herb,compound,herb,True
C0083,H1248,compound_in_herb,compound,herb,True
C0083,H1249,compound_in_herb,compound,herb,True
C0083,H1250,compound_in_herb,compound,herb,True
C0084,H0713,compound_in_herb,compound,herb,True
C0084,H0715,compound_in_herb,compound,herb,True
C0084,H0972,compound_in_herb,compound,herb,True
C0084,H0973,compound_in_herb,compound,herb,True
C0084,H1079,compound_in_herb,compound,herb,True
C0084,H1156,compound_in_herb,compound,herb,True
C0085,H0612,compound_in_herb,compound,herb,True
C0085,H1236,compound_in_herb,compound,herb,True
C0086,H0595,compound_in_herb,compound,herb,True
