herb_id,P1_group_signature,P2_group_signature,same_member_set,P2_added_connectivity,difference_reason
H0166,P1SIG_e98b81a2ca4a,P2SIG_e98b81a2ca4a,True,False,
H0167,P1SIG_28661fb98359,P2SIG_28661fb98359,True,False,
H0168,P1SIG_9d1a8b53cbe8,P2SIG_9d1a8b53cbe8,True,False,
H0169,P1SIG_a8a46d7c7b96,P2SIG_a8a46d7c7b96,True,False,
H0170,P1SIG_1ddc7a859844,P2SIG_1ddc7a859844,True,False,
H0171,P1SIG_ba059f1e6a5c,P2SIG_ba059f1e6a5c,True,False,
H0172,P1SIG_5e730c7c7c6e,P2SIG_5e730c7c7c6e,True,False,
H0173,P1SIG_31be0748f848,P2SIG_31be0748f848,True,False,
H0174,P1SIG_79559a8f80f5,P2SIG_79559a8f80f5,True,False,
H0175,P1SIG_cefa4c4089da,P2SIG_cefa4c4089da,True,False,
H0176,P1SIG_61bf94746666,P2SIG_61bf94746666,True,False,
H0177,P1SIG_ad156a310c1b,P2SIG_ad156a310c1b,True,False,
H0178,P1SIG_19014f2b6721,P2SIG_19014f2b6721,True,False,
H0179,P1SIG_08ef0a19f4af,P2SIG_08ef0a19f4af,True,False,
H0180,P1SIG_77c456492ed0,P2SIG_77c456492ed0,True,False,
H0181,P1SIG_e6918ebb81ee,P2SIG_e6918ebb81ee,True,False,
H0182,P1SIG_99f2a38441f2,P2SIG_99f2a38441f2,True,False,
H0183,P1SIG_08937bb0fadb,P2SIG_08937bb0fadb,True,False,
H0184,P1SIG_6685424d4261,P2SIG_6685424d4261,True,False,
H0185,P1SIG_4916c664edfc,P2SIG_4916c664edfc,True,False,
H0186,P1SIG_bb9dab509f9b,P2SIG_bb9dab509f9b,True,False,
H0187,P1SIG_2607af7df66c,P2SIG_2607af7df66c,True,False,
H0188,P1SIG_b26ccec44311,P2SIG_b26ccec44311,True,False,
H0189,P1SIG_7d5b8ca46aae,P2SIG_7d5b8ca46aae,True,False,
H0190,P1SIG_0ad3bf48bf53,P2SIG_0ad3bf48bf53,True,False,
H0192,P1SIG_420563d963a0,P2SIG_420563d963a0,True,False,
H0193,P1SIG_90d3a22f0110,P2SIG_90d3a22f0110,True,False,
H0194,P1SIG_c16f4496c543,P2SIG_c16f4496c543,True,False,
H0195,P1SIG_e0d6e55ad5bf,P2SIG_e0d6e55ad5bf,True,False,
H0196,P1SIG_f9d436be5eb6,P2SIG_f9d436be5eb6,True,False,
H0197,P1SIG_6553e94e6439,P2SIG_6553e94e6439,True,False,
H0198,P1SIG_01a40ac6bac4,P2SIG_01a40ac6bac4,True,False,
H0199,P1SIG_19043ee1548b,P2SIG_19043ee1548b,True,False,
H0200,P1SIG_2309cdae6107,P2SIG_2309cdae6107,True,False,
H0201,P1SIG_b1c4b983f881,P2SIG_b1c4b983f881,True,False,
H0202,P1SIG_c0339c840228,P2SIG_c0339c840228,True,False,
H0203,P1SIG_705aa08eafd2,P2SIG_705aa08eafd2,True,False,
H0204,P1SIG_079e3e8041d7,P2SIG_079e3e8041d7,True,False,
H0205,P1SIG_feaadf1ce0c5,P2SIG_feaadf1ce0c5,True,False,
H0206,P1SIG_6405fac782c5,P2SIG_6405fac782c5,True,False,
H0207,P1SIG_e20aadaea247,P2SIG_e20aadaea247,True,False,
H0208,P1SIG_d17d4a773a7a,P2SIG_d17d4a773a7a,True,False,
H0209,P1SIG_6823de565549,P2SIG_6823de565549,True,False,
H0210,P1SIG_61864423a13a,P2SIG_61864423a13a,True,False,
H0211,P1SIG_7eda6e11e566,P2SIG_7eda6e11e566,True,False,
H0212,P1SIG_efaa69ade0fa,P2SIG_efaa69ade0fa,True,False,
H0213,P1SIG_a2e72632f694,P2SIG_a2e72632f694,True,False,
H0214,P1SIG_d2dc72c4ebd0,P2SIG_d2dc72c4ebd0,True,False,
H0215,P1SIG_50622f91509c,P2SIG_50622f91509c,True,False,
H0216,P1SIG_f765878bb205,P2SIG_f765878bb205,True,False,
H0217,P1SIG_bf3a5b2d1008,P2SIG_bf3a5b2d1008,True,False,
H0218,P1SIG_0e02cca3a84c,P2SIG_0e02cca3a84c,True,False,
H0219,P1SIG_72d05b44c2e1,P2SIG_72d05b44c2e1,True,False,
H0220,P1SIG_b0d9f45df402,P2SIG_b0d9f45df402,True,False,
H0221,P1SIG_c366c2e774ea,P2SIG_c366c2e774ea,True,False,
H0222,P1SIG_4b6264affd6a,P2SIG_4b6264affd6a,True,False,
H0223,P1SIG_8ca2b71438a2,P2SIG_8ca2b71438a2,True,False,
H0224,P1SIG_ea9e07cb8c75,P2SIG_ea9e07cb8c75,True,False,
H0225,P1SIG_4e066a9410ca,P2SIG_4e066a9410ca,True,False,
H0226,P1SIG_e542d87db819,P2SIG_e542d87db819,True,False,
H0227,P1SIG_00e1946398f7,P2SIG_00e1946398f7,True,False,
H0228,P1SIG_a780b4fb239b,P2SIG_a780b4fb239b,True,False,
H0229,P1SIG_ed09b82af626,P2SIG_ed09b82af626,True,False,
H0230,P1SIG_209da42b4511,P2SIG_209da42b4511,True,False,
H0231,P1SIG_af4f7e6acedd,P2SIG_af4f7e6acedd,True,False,
H0232,P1SIG_884101640b7c,P2SIG_884101640b7c,True,False,
H0233,P1SIG_00b7bc63c9b2,P2SIG_00b7bc63c9b2,True,False,
H0234,P1SIG_b0678a9f0bdc,P2SIG_b0678a9f0bdc,True,False,
H0235,P1SIG_b26c6f0227ce,P2SIG_b26c6f0227ce,True,False,
H0236,P1SIG_8e6d7af57d47,P2SIG_8e6d7af57d47,True,False,
H0237,P1SIG_77c8e78060fe,P2SIG_77c8e78060fe,True,False,
H0238,P1SIG_26b0c172a29c,P2SIG_26b0c172a29c,True,False,
H0239,P1SIG_8a2a893cbeb7,P2SIG_8a2a893cbeb7,True,False,
H0240,P1SIG_49396bc4a23a,P2SIG_49396bc4a23a,True,False,
H0241,P1SIG_8ca2861e6468,P2SIG_8ca2861e6468,True,False,
H0242,P1SIG_e4dfb575fbdc,P2SIG_e4dfb575fbdc,True,False,
H0243,P1SIG_8b3ba105a70a,P2SIG_8b3ba105a70a,True,False,
H0244,P1SIG_3c0f1ae19e37,P2SIG_3c0f1ae19e37,True,False,
H0245,P1SIG_8afdbcffe25d,P2SIG_8afdbcffe25d,True,False,
H0246,P1SIG_511d59f0d56f,P2SIG_511d59f0d56f,True,False,
H0247,P1SIG_01b5eececfe9,P2SIG_01b5eececfe9,True,False,
H0248,P1SIG_f4d16e1d45b9,P2SIG_f4d16e1d45b9,True,False,
H0249,P1SIG_ce5a5fca397d,P2SIG_ce5a5fca397d,True,False,
H0250,P1SIG_b70df8604dde,P2SIG_b70df8604dde,True,False,
H0251,P1SIG_f8d71c3e4fba,P2SIG_f8d71c3e4fba,True,False,
H0252,P1SIG_f74c7553e800,P2SIG_f74c7553e800,True,False,
H0253,P1SIG_9f26e07c97cf,P2SIG_9f26e07c97cf,True,False,
H0254,P1SIG_c80c6c782d4d,P2SIG_c80c6c782d4d,True,False,
H0255,P1SIG_163f3d4f3449,P2SIG_163f3d4f3449,True,False,
H0256,P1SIG_f8f7cffcb7b7,P2SIG_f8f7cffcb7b7,True,False,
H0257,P1SIG_900ce8f7b622,P2SIG_900ce8f7b622,True,False,
H0258,P1SIG_f3165ab95bee,P2SIG_f3165ab95bee,True,False,
H0259,P1SIG_581aa9fd9acc,P2SIG_581aa9fd9acc,True,False,
H0260,P1SIG_a5cc93c3ffc4,P2SIG_a5cc93c3ffc4,True,False,
H0261,P1SIG_6721d9b5f187,P2SIG_6721d9b5f187,True,False,
H0262,P1SIG_920c24a48119,P2SIG_920c24a48119,True,False,
H0263,P1SIG_1ce5fd0f7ac7,P2SIG_1ce5fd0f7ac7,True,False,
H0264,P1SIG_c36dd378b306,P2SIG_c36dd378b306,True,False,
H0265,P1SIG_1efe23e9796e,P2SIG_1efe23e9796e,True,False,
H0266,P1SIG_fc34a4e05d4f,P2SIG_fc34a4e05d4f,True,False,
H0267,P1SIG_a6dfed9e0b3f,P2SIG_a6dfed9e0b3f,True,False,
H0268,P1SIG_4463e70e3ec1,P2SIG_4463e70e3ec1,True,False,
H0269,P1SIG_bf81ee4a0c18,P2SIG_bf81ee4a0c18,True,False,
H0270,P1SIG_9b3954115105,P2SIG_9b3954115105,True,False,
H0271,P1SIG_cd99dd844695,P2SIG_cd99dd844695,True,False,
H0272,P1SIG_7fd94bf78162,P2SIG_7fd94bf78162,True,False,
H0273,P1SIG_d075aded01f1,P2SIG_d075aded01f1,True,False,
H0274,P1SIG_d240e4462c44,P2SIG_d240e4462c44,True,False,
H0275,P1SIG_d1fb95bc1560,P2SIG_d1fb95bc1560,True,False,
H0276,P1SIG_c69bacbbeb14,P2SIG_c69bacbbeb14,True,False,
H0277,P1SIG_2bee0e5fc310,P2SIG_2bee0e5fc310,True,False,
H0278,P1SIG_a4281583c570,P2SIG_a4281583c570,True,False,
H0279,P1SIG_4ef581b59b1a,P2SIG_4ef581b59b1a,True,False,
H0280,P1SIG_1e5dd67e7d47,P2SIG_1e5dd67e7d47,True,False,
H0281,P1SIG_2bd21d965cc3,P2SIG_2bd21d965cc3,True,False,
H0282,P1SIG_3211c58460ae,P2SIG_3211c58460ae,True,False,
